5,13.286
5.026,13.109
5.051,13.172
5.077,13.291
5.103,13.314
5.129,13.31
5.154,13.381
5.18,13.395
5.206,13.234
5.232,13.288
5.257,13.46
5.283,13.334
5.309,13.363
5.335,13.331
5.36,13.436
5.386,13.424
5.412,13.268
5.438,13.32
5.463,13.549
5.489,13.466
5.515,13.326
5.541,13.455
5.566,13.418
5.592,13.59
5.618,13.534
5.644,13.515
5.669,13.577
5.695,13.587
5.721,13.571
5.747,13.6
5.772,13.512
5.798,13.53
5.824,13.56
5.85,13.63
5.875,13.654
5.901,13.701
5.927,13.764
5.953,13.674
5.978,13.718
6.004,13.658
6.03,13.628
6.055,13.765
6.081,13.811
6.107,13.781
6.133,13.755
6.158,13.835
6.184,13.813
6.21,13.829
6.236,13.758
6.261,13.81
6.287,13.967
6.313,13.842
6.339,13.994
6.364,13.944
6.39,14.019
6.416,13.885
6.442,13.86
6.467,13.964
6.493,13.863
6.519,13.904
6.545,13.915
6.57,13.928
6.596,13.924
6.622,13.953
6.648,14.068
6.673,13.965
6.699,13.995
6.725,14.079
6.751,14.052
6.776,14.083
6.802,14.19
6.828,14.148
6.854,14.215
6.879,14.251
6.905,14.229
6.931,14.233
6.957,14.13
6.982,14.043
7.008,14.171
7.034,14.172
7.059,14.261
7.085,14.062
7.111,14.276
7.137,14.201
7.162,14.323
7.188,14.292
7.214,14.339
7.24,14.416
7.265,14.277
7.291,14.392
7.317,14.392
7.343,14.398
7.368,14.39
7.394,14.454
7.42,14.462
7.446,14.424
7.471,14.495
7.497,14.508
7.523,14.513
7.549,14.532
7.574,14.56
7.6,14.571
7.626,14.639
7.652,14.548
7.677,14.64
7.703,14.675
7.729,14.607
7.755,14.777
7.78,14.79
7.806,14.833
7.832,14.723
7.858,14.89
7.883,15.118
7.909,15.103
7.935,15.246
7.961,15.475
7.986,15.637
8.012,15.897
8.038,16.407
8.064,16.944
8.089,16.991
8.115,16.734
8.141,16.21
8.166,15.775
8.192,15.582
8.218,15.487
8.244,15.342
8.269,15.305
8.295,15.324
8.321,15.29
8.347,15.302
8.372,15.255
8.398,15.255
8.424,15.292
8.45,15.248
8.475,15.26
8.501,15.334
8.527,15.378
8.553,15.376
8.578,15.446
8.604,15.596
8.63,15.432
8.656,15.624
8.681,15.527
8.707,15.598
8.733,15.573
8.759,15.681
8.784,15.802
8.81,15.865
8.836,15.942
8.862,15.799
8.887,15.939
8.913,16.046
8.939,16.076
8.965,16.199
8.99,16.201
9.016,16.38
9.042,16.505
9.068,16.619
9.093,16.913
9.119,17.129
9.145,17.434
9.17,17.961
9.196,18.647
9.222,19.809
9.248,22.131
9.273,28.095
9.299,51.577
9.325,138.695
9.351,251.796
9.376,176.1
9.402,71.818
9.428,33.792
9.454,23.827
9.479,20.505
9.505,19.039
9.531,18.367
9.557,17.891
9.582,17.58
9.608,17.502
9.634,17.295
9.66,17.213
9.685,17.255
9.711,17.189
9.737,17.249
9.763,17.103
9.788,17.183
9.814,17.624
9.84,17.136
9.866,17.108
9.891,17.227
9.917,17.195
9.943,17.268
9.969,17.279
9.994,17.25
10.02,17.245
10.046,17.262
10.072,17.312
10.097,17.451
10.123,17.451
10.149,17.556
10.174,17.553
10.2,17.58
10.226,17.549
10.252,17.653
10.277,17.54
10.303,17.593
10.329,17.677
10.355,17.754
10.38,17.856
10.406,18.011
10.432,17.899
10.458,17.84
10.483,17.952
10.509,18.1
10.535,17.979
10.561,18.053
10.586,18.172
10.612,18.3
10.638,18.295
10.664,18.323
10.689,18.446
10.715,18.473
10.741,18.494
10.767,18.445
10.792,18.51
10.818,18.541
10.844,18.699
10.87,18.681
10.895,18.695
10.921,18.783
10.947,18.788
10.973,18.925
10.998,19.017
11.024,18.978
11.05,19.097
11.076,19.004
11.101,19.094
11.127,19.182
11.153,19.21
11.178,19.274
11.204,19.444
11.23,19.464
11.256,19.524
11.281,19.575
11.307,19.579
11.333,19.744
11.359,19.659
11.384,19.832
11.41,19.937
11.436,20.043
11.462,20.069
11.487,20.07
11.513,20.165
11.539,20.25
11.565,20.282
11.59,20.281
11.616,20.249
11.642,20.443
11.668,20.596
11.693,20.622
11.719,20.769
11.745,20.881
11.771,20.867
11.796,20.888
11.822,20.993
11.848,20.999
11.874,21.023
11.899,21.057
11.925,21.085
11.951,21.259
11.977,21.42
12.002,21.439
12.028,21.57
12.054,21.606
12.08,21.776
12.105,22.061
12.131,21.777
12.157,21.823
12.182,22.003
12.208,21.983
12.234,21.965
12.26,22.193
12.285,22.372
12.311,22.406
12.337,22.471
12.363,22.405
12.388,22.491
12.414,22.74
12.44,22.753
12.466,22.774
12.491,22.802
12.517,22.829
12.543,22.963
12.569,23.082
12.594,23.181
12.62,23.237
12.646,23.159
12.672,23.288
12.697,23.425
12.723,23.446
12.749,23.652
12.775,23.942
12.8,23.851
12.826,23.769
12.852,23.928
12.878,24.005
12.903,24.006
12.929,24.064
12.955,24.154
12.981,24.345
13.006,24.331
13.032,24.356
13.058,24.597
13.084,24.628
13.109,24.631
13.135,24.891
13.161,24.981
13.186,25.321
13.212,25.741
13.238,26.953
13.264,29.398
13.289,33.156
13.315,33.946
13.341,30.809
13.367,27.786
13.392,26.368
13.418,26.003
13.444,25.948
13.47,25.892
13.495,25.906
13.521,26.037
13.547,25.903
13.573,25.943
13.598,26.085
13.624,26.128
13.65,26.064
13.676,26.284
13.701,26.393
13.727,26.506
13.753,26.623
13.779,26.785
13.804,26.612
13.83,26.67
13.856,26.743
13.882,26.783
13.907,26.836
13.933,27.031
13.959,27.094
13.985,27.052
